Date,MAW
2015-12-31 23:00:00,5570
2015-12-31 23:00:15,5414
2015-12-31 23:00:30,5295
2015-12-31 23:00:45,5190
2015-12-31 23:01:00,5132
2015-12-31 23:01:15,5078
2015-12-31 23:01:30,5002
2015-12-31 23:01:45,4952
2015-12-31 23:02:00,4940
2015-12-31 23:02:15,4919
2015-12-31 23:02:30,4896
2015-12-31 23:02:45,4897
2015-12-31 23:03:00,4928
2015-12-31 23:03:15,4929
2015-12-31 23:03:30,4909
2015-12-31 23:03:45,4876
2015-12-31 23:04:00,4911
2015-12-31 23:04:15,4913
2015-12-31 23:04:30,4902
2015-12-31 23:04:45,4870
2015-12-31 23:05:00,4896
2015-12-31 23:05:15,4883
2015-12-31 23:05:30,4840
2015-12-31 23:05:45,4689
2015-12-31 23:06:00,4605
2015-12-31 23:06:15,4558
2015-12-31 23:06:30,4610
2015-12-31 23:06:45,4700
2015-12-31 23:07:00,4801
2015-12-31 23:07:15,4911
2015-12-31 23:07:30,5309
2015-12-31 23:07:45,5465
2015-12-31 23:08:00,5568
2015-12-31 23:08:15,5731
2015-12-31 23:08:30,5863
2015-12-31 23:08:45,5991
2015-12-31 23:09:00,6124
2015-12-31 23:09:15,6218
2015-12-31 23:09:30,6253
2015-12-31 23:09:45,6303
2015-12-31 23:10:00,6451
2015-12-31 23:10:15,6619
2015-12-31 23:10:30,6747
2015-12-31 23:10:45,6887
2015-12-31 23:11:00,7089
2015-12-31 23:11:15,7213
2015-12-31 23:11:30,7340
2015-12-31 23:11:45,7366
2015-12-31 23:12:00,7171
2015-12-31 23:12:15,7015
2015-12-31 23:12:30,6793
2015-12-31 23:12:45,6607
2015-12-31 23:13:00,6529
2015-12-31 23:13:15,6380
2015-12-31 23:13:30,6273
2015-12-31 23:13:45,6214
2015-12-31 23:14:00,6191
2015-12-31 23:14:15,6155
2015-12-31 23:14:30,6144
2015-12-31 23:14:45,6109
2015-12-31 23:15:00,6164
2015-12-31 23:15:15,6104
2015-12-31 23:15:30,6067
2015-12-31 23:15:45,6152
2015-12-31 23:16:00,6420
2015-12-31 23:16:15,6608
2015-12-31 23:16:30,6821
2015-12-31 23:16:45,6955
2015-12-31 23:17:00,7049
2015-12-31 23:17:15,7089
2015-12-31 23:17:30,7189
2015-12-31 23:17:45,7150
2015-12-31 23:18:00,7194
2015-12-31 23:18:15,7185
2015-12-31 23:18:30,7102
2015-12-31 23:18:45,7106
2015-12-31 23:19:00,7170
2015-12-31 23:19:15,7061
2015-12-31 23:19:30,6947
2015-12-31 23:19:45,6871
2015-12-31 23:20:00,6847
2015-12-31 23:20:15,6689
2015-12-31 23:20:30,6524
2015-12-31 23:20:45,6480
2015-12-31 23:21:00,6445
2015-12-31 23:21:15,6412
2015-12-31 23:21:30,6332
2015-12-31 23:21:45,6362
2015-12-31 23:22:00,6425
2015-12-31 23:22:15,6420
2015-12-31 23:22:30,6359
2015-12-31 23:22:45,6281
2015-12-31 23:23:00,6212
2015-12-31 23:23:15,6092
2015-12-31 23:23:30,5992
2015-12-31 23:23:45,5900
2016-01-01 23:00:00,5820
2016-01-01 23:00:15,5678
2016-01-01 23:00:30,5558
2016-01-01 23:00:45,5500
2016-01-01 23:01:00,5444
2016-01-01 23:01:15,5387
2016-01-01 23:01:30,5352
2016-01-01 23:01:45,5341
2016-01-01 23:02:00,5338
2016-01-01 23:02:15,5321
2016-01-01 23:02:30,5297
2016-01-01 23:02:45,5306
2016-01-01 23:03:00,5334
2016-01-01 23:03:15,5333
2016-01-01 23:03:30,5307
2016-01-01 23:03:45,5271
2016-01-01 23:04:00,5343
2016-01-01 23:04:15,5362
