Date,Day ahead/System total load in MAW
2016-10-26 22:00:00,48667
2016-10-26 22:15:00,47984
2016-10-26 22:30:00,47429
2016-10-26 22:45:00,46782
2016-10-26 23:00:00,46311
2016-10-26 23:15:00,45868
2016-10-26 23:30:00,45608
2016-10-26 23:45:00,45264
2016-10-27 00:00:00,44970
2016-10-27 00:15:00,44798
2016-10-27 00:30:00,44881
2016-10-27 00:45:00,45084
2016-10-27 01:00:00,45231
2016-10-27 01:15:00,45390
2016-10-27 01:30:00,45456
2016-10-27 01:45:00,45525
2016-10-27 02:00:00,46053
2016-10-27 02:15:00,46336
2016-10-27 02:30:00,46909
2016-10-27 02:45:00,47383
2016-10-27 03:00:00,48681
2016-10-27 03:15:00,49258
2016-10-27 03:30:00,50404
2016-10-27 03:45:00,51716
2016-10-27 04:00:00,54636
2016-10-27 04:15:00,56908
2016-10-27 04:30:00,58794
2016-10-27 04:45:00,60520
2016-10-27 05:00:00,62220
2016-10-27 05:15:00,63431
2016-10-27 05:30:00,64369
2016-10-27 05:45:00,64948
2016-10-27 06:00:00,65539
2016-10-27 06:15:00,65884
2016-10-27 06:30:00,66018
2016-10-27 06:45:00,65845
2016-10-27 07:00:00,65596
2016-10-27 07:15:00,65766
2016-10-27 07:30:00,65908
2016-10-27 07:45:00,66261
2016-10-27 08:00:00,66427
2016-10-27 08:15:00,66675
2016-10-27 08:30:00,66912
2016-10-27 08:45:00,67135
2016-10-27 09:00:00,67487
2016-10-27 09:15:00,67808
2016-10-27 09:30:00,68163
2016-10-27 09:45:00,67570
2016-10-27 10:00:00,67377
2016-10-27 10:15:00,67089
2016-10-27 10:30:00,66880
2016-10-27 10:45:00,66920
2016-10-27 11:00:00,66362
2016-10-27 11:15:00,66399
2016-10-27 11:30:00,66005
2016-10-27 11:45:00,65218
2016-10-27 12:00:00,65251
2016-10-27 12:15:00,64803
2016-10-27 12:30:00,64679
2016-10-27 12:45:00,64851
2016-10-27 13:00:00,65136
2016-10-27 13:15:00,64519
2016-10-27 13:30:00,64075
2016-10-27 13:45:00,63830
2016-10-27 14:00:00,63548
2016-10-27 14:15:00,63732
2016-10-27 14:30:00,63677
2016-10-27 14:45:00,63057
2016-10-27 15:00:00,63309
2016-10-27 15:15:00,63277
2016-10-27 15:30:00,63885
2016-10-27 15:45:00,64189
2016-10-27 16:00:00,64514
2016-10-27 16:15:00,65197
2016-10-27 16:30:00,66115
2016-10-27 16:45:00,66794
2016-10-27 17:00:00,66831
2016-10-27 17:15:00,66399
2016-10-27 17:30:00,65946
2016-10-27 17:45:00,65022
2016-10-27 18:00:00,63932
2016-10-27 18:15:00,62843
2016-10-27 18:30:00,61551
2016-10-27 18:45:00,60668
2016-10-27 19:00:00,59613
2016-10-27 19:15:00,59035
2016-10-27 19:30:00,58091
2016-10-27 19:45:00,57476
2016-10-27 20:00:00,57014
2016-10-27 20:15:00,56217
2016-10-27 20:30:00,55144
2016-10-27 20:45:00,53842
2016-10-27 21:00:00,52453
2016-10-27 21:15:00,51225
2016-10-27 21:30:00,50248
2016-10-27 21:45:00,49260
2016-10-27 22:00:00,48602
2016-10-27 22:15:00,47907
2016-10-27 22:30:00,47292
2016-10-27 22:45:00,46686
2016-10-27 23:00:00,46177
2016-10-27 23:15:00,45723
2016-10-27 23:30:00,45454
2016-10-27 23:45:00,45202
2016-10-28 00:00:00,44786
2016-10-28 00:15:00,44569
2016-10-28 00:30:00,44665
2016-10-28 00:45:00,44750
2016-10-28 01:00:00,44943
2016-10-28 01:15:00,45032
2016-10-28 01:30:00,45123
2016-10-28 01:45:00,45228
2016-10-28 02:00:00,45840
2016-10-28 02:15:00,46188
2016-10-28 02:30:00,46771
2016-10-28 02:45:00,47243
2016-10-28 03:00:00,48532
2016-10-28 03:15:00,49199
2016-10-28 03:30:00,50268
2016-10-28 03:45:00,51498
