Date,System total load in MAW
2017-10-26 22:00:00,49245
2017-10-26 22:15:00,48397
2017-10-26 22:30:00,47750
2017-10-26 22:45:00,47126
2017-10-26 23:00:00,46550
2017-10-26 23:15:00,45944
2017-10-26 23:30:00,45612
2017-10-26 23:45:00,45311
2017-10-27 00:00:00,45069
2017-10-27 00:15:00,44818
2017-10-27 00:30:00,44867
2017-10-27 00:45:00,44996
2017-10-27 01:00:00,45203
2017-10-27 01:15:00,45321
2017-10-27 01:30:00,45460
2017-10-27 01:45:00,45541
2017-10-27 02:00:00,46010
2017-10-27 02:15:00,46382
2017-10-27 02:30:00,46895
2017-10-27 02:45:00,47457
2017-10-27 03:00:00,48717
2017-10-27 03:15:00,49376
2017-10-27 03:30:00,50596
2017-10-27 03:45:00,52017
2017-10-27 04:00:00,54727
2017-10-27 04:15:00,57025
2017-10-27 04:30:00,58889
2017-10-27 04:45:00,60754
2017-10-27 05:00:00,62699
2017-10-27 05:15:00,63988
2017-10-27 05:30:00,66737
2017-10-27 05:45:00,67281
2017-10-27 06:00:00,67899
2017-10-27 06:15:00,68066
2017-10-27 06:30:00,68313
2017-10-27 06:45:00,68270
2017-10-27 07:00:00,68189
2017-10-27 07:15:00,68319
2017-10-27 07:30:00,68748
2017-10-27 07:45:00,69155
2017-10-27 08:00:00,69336
2017-10-27 08:15:00,69756
2017-10-27 08:30:00,70180
2017-10-27 08:45:00,70391
2017-10-27 09:00:00,70677
2017-10-27 09:15:00,70888
2017-10-27 09:30:00,71310
2017-10-27 09:45:00,70519
2017-10-27 10:00:00,70347
2017-10-27 10:15:00,70343
2017-10-27 10:30:00,69941
2017-10-27 10:45:00,69934
2017-10-27 11:00:00,69467
2017-10-27 11:15:00,69239
2017-10-27 11:30:00,68874
2017-10-27 11:45:00,67978
2017-10-27 12:00:00,67538
2017-10-27 12:15:00,67210
2017-10-27 12:30:00,67062
2017-10-27 12:45:00,67169
2017-10-27 13:00:00,67292
2017-10-27 13:15:00,66485
2017-10-27 13:30:00,66010
2017-10-27 13:45:00,65312
2017-10-27 14:00:00,65436
2017-10-27 14:15:00,65352
2017-10-27 14:30:00,65503
2017-10-27 14:45:00,64635
2017-10-27 15:00:00,64636
2017-10-27 15:15:00,64451
2017-10-27 15:30:00,64617
2017-10-27 15:45:00,64788
2017-10-27 16:00:00,64954
2017-10-27 16:15:00,65332
2017-10-27 16:30:00,66145
2017-10-27 16:45:00,66464
2017-10-27 17:00:00,66505
2017-10-27 17:15:00,66098
2017-10-27 17:30:00,65513
2017-10-27 17:45:00,65094
2017-10-27 18:00:00,64017
2017-10-27 18:15:00,62762
2017-10-27 18:30:00,61573
2017-10-27 18:45:00,60508
2017-10-27 19:00:00,59373
2017-10-27 19:15:00,58972
2017-10-27 19:30:00,58045
2017-10-27 19:45:00,57250
2017-10-27 20:00:00,56866
2017-10-27 20:15:00,56112
2017-10-27 20:30:00,55198
2017-10-27 20:45:00,54005
2017-10-27 21:00:00,52771
2017-10-27 21:15:00,51727
2017-10-27 21:30:00,50692
2017-10-27 21:45:00,49483
2017-10-27 22:00:00,48933
2017-10-27 22:15:00,48190
2017-10-27 22:30:00,47371
2017-10-27 22:45:00,46634
2017-10-27 23:00:00,46094
2017-10-27 23:15:00,45480
2017-10-27 23:30:00,45003
2017-10-27 23:45:00,44719
2017-10-28 00:00:00,44285
2017-10-28 00:15:00,44018
2017-10-28 00:30:00,44018
2017-10-28 00:45:00,43893
2017-10-28 01:00:00,44022
2017-10-28 01:15:00,43995
2017-10-28 01:30:00,44070
2017-10-28 01:45:00,43941
2017-10-28 02:00:00,44157
2017-10-28 02:15:00,44204
2017-10-28 02:30:00,44349
2017-10-28 02:45:00,44322
2017-10-28 03:00:00,44822
2017-10-28 03:15:00,44778
2017-10-28 03:30:00,44833
2017-10-28 03:45:00,44848
2017-10-28 04:00:00,45026
2017-10-28 04:15:00,45945
2017-10-28 04:30:00,46476
2017-10-28 04:45:00,47255
2017-10-28 05:00:00,48511
2017-10-28 05:15:00,49227
2017-10-28 05:30:00,50863
2017-10-28 05:45:00,51657
2017-10-28 06:00:00,52898
2017-10-28 06:15:00,53400
2017-10-28 06:30:00,54209
2017-10-28 06:45:00,54978
2017-10-28 07:00:00,55726
2017-10-28 07:15:00,56137
2017-10-28 07:30:00,56804
2017-10-28 07:45:00,57349
2017-10-28 08:00:00,57832
2017-10-28 08:15:00,58437
2017-10-28 08:30:00,58609
2017-10-28 08:45:00,58782
2017-10-28 09:00:00,59146
2017-10-28 09:15:00,59660
2017-10-28 09:30:00,60241
2017-10-28 09:45:00,59818
2017-10-28 10:00:00,59743
2017-10-28 10:15:00,59677
2017-10-28 10:30:00,59155
2017-10-28 10:45:00,58840
2017-10-28 11:00:00,58166
2017-10-28 11:15:00,57768
2017-10-28 11:30:00,57310
2017-10-28 11:45:00,56280
2017-10-28 12:00:00,55889
2017-10-28 12:15:00,55322
2017-10-28 12:30:00,55191
2017-10-28 12:45:00,55475
2017-10-28 13:00:00,55756
2017-10-28 13:15:00,55057
2017-10-28 13:30:00,54940
2017-10-28 13:45:00,54668
2017-10-28 14:00:00,54726
2017-10-28 14:15:00,55141
2017-10-28 14:30:00,55431
2017-10-28 14:45:00,54888
2017-10-28 15:00:00,55442
2017-10-28 15:15:00,55803
2017-10-28 15:30:00,56458
2017-10-28 15:45:00,56738
2017-10-28 16:00:00,57398
2017-10-28 16:15:00,58033
2017-10-28 16:30:00,58470
2017-10-28 16:45:00,58798
2017-10-28 17:00:00,58862
2017-10-28 17:15:00,58433
2017-10-28 17:30:00,57854
2017-10-28 17:45:00,57148
2017-10-28 18:00:00,56396
2017-10-28 18:15:00,55631
2017-10-28 18:30:00,54239
2017-10-28 18:45:00,53664
2017-10-28 19:00:00,52617
2017-10-28 19:15:00,52141
2017-10-28 19:30:00,52093
2017-10-28 19:45:00,51728
2017-10-28 20:00:00,52036
2017-10-28 20:15:00,51411
2017-10-28 20:30:00,50511
2017-10-28 20:45:00,49336
2017-10-28 21:00:00,48072
2017-10-28 21:15:00,47161
2017-10-28 21:30:00,46482
2017-10-28 21:45:00,45542
2017-10-28 22:00:00,43217
2017-10-28 22:15:00,42392
2017-10-28 22:30:00,41782
2017-10-28 22:45:00,41221
2017-10-28 23:00:00,40717
2017-10-28 23:15:00,40193
2017-10-28 23:30:00,39817
2017-10-28 23:45:00,39431
2017-10-29 00:00:00,39259
2017-10-29 00:15:00,39170
2017-10-29 00:30:00,39051
2017-10-29 00:45:00,39168
2017-10-29 01:00:00,39109
2017-10-29 01:15:00,39201
2017-10-29 01:30:00,39101
2017-10-29 01:45:00,38828
2017-10-29 02:00:00,38824
2017-10-29 02:15:00,38886
2017-10-29 02:30:00,39099
2017-10-29 02:45:00,39054
2017-10-29 03:00:00,39909
2017-10-29 03:15:00,40129
2017-10-29 03:30:00,40289
2017-10-29 03:45:00,40200
2017-10-29 04:00:00,40773
2017-10-29 04:15:00,40809
2017-10-29 04:30:00,40773
2017-10-29 04:45:00,40985
2017-10-29 05:00:00,40669
2017-10-29 05:15:00,40946
2017-10-29 05:30:00,42197
2017-10-29 05:45:00,42524
2017-10-29 06:00:00,43444
2017-10-29 06:15:00,44026
2017-10-29 06:30:00,44415
2017-10-29 06:45:00,45287
2017-10-29 07:00:00,46316
2017-10-29 07:15:00,47063
2017-10-29 07:30:00,47977
2017-10-29 07:45:00,48474
2017-10-29 08:00:00,49546
2017-10-29 08:15:00,50692
2017-10-29 08:30:00,50912
2017-10-29 08:45:00,51885
2017-10-29 09:00:00,51875
2017-10-29 09:15:00,52431
2017-10-29 09:30:00,53163
2017-10-29 09:45:00,54048
2017-10-29 10:00:00,54581
2017-10-29 10:15:00,54925
2017-10-29 10:30:00,55377
2017-10-29 10:45:00,54982
2017-10-29 11:00:00,54909
2017-10-29 11:15:00,54665
2017-10-29 11:30:00,54152
2017-10-29 11:45:00,53391
2017-10-29 12:00:00,53085
2017-10-29 12:15:00,52723
2017-10-29 12:30:00,52422
2017-10-29 12:45:00,51453
2017-10-29 13:00:00,50970
2017-10-29 13:15:00,51046
2017-10-29 13:30:00,50896
2017-10-29 13:45:00,51407
2017-10-29 14:00:00,51292
2017-10-29 14:15:00,50655
2017-10-29 14:30:00,50556
2017-10-29 14:45:00,50777
2017-10-29 15:00:00,51402
2017-10-29 15:15:00,51964
2017-10-29 15:30:00,52421
2017-10-29 15:45:00,52076
2017-10-29 16:00:00,53860
2017-10-29 16:15:00,54503
2017-10-29 16:30:00,55577
2017-10-29 16:45:00,56132
2017-10-29 17:00:00,56033
2017-10-29 17:15:00,56751
2017-10-29 17:30:00,56759
2017-10-29 17:45:00,56560
2017-10-29 18:00:00,56296
2017-10-29 18:15:00,56066
2017-10-29 18:30:00,55398
2017-10-29 18:45:00,54472
2017-10-29 19:00:00,53951
2017-10-29 19:15:00,53555
2017-10-29 19:30:00,52235
2017-10-29 19:45:00,51841
2017-10-29 20:00:00,51274
2017-10-29 20:15:00,50603
2017-10-29 20:30:00,50751
2017-10-29 20:45:00,50901
2017-10-29 21:00:00,50660
2017-10-29 21:15:00,49999
2017-10-29 21:30:00,49261
2017-10-29 21:45:00,48206
2017-10-29 22:00:00,46991
2017-10-29 22:15:00,46244
2017-10-29 22:30:00,45601
2017-10-29 22:45:00,44947
2017-10-29 23:00:00,45243
2017-10-29 23:15:00,44972
2017-10-29 23:30:00,44548
2017-10-29 23:45:00,44161
2017-10-30 00:00:00,43731
2017-10-30 00:15:00,43300
2017-10-30 00:30:00,42918
2017-10-30 00:45:00,42684
2017-10-30 01:00:00,42452
2017-10-30 01:15:00,42319
2017-10-30 01:30:00,42405
2017-10-30 01:45:00,42343
2017-10-30 02:00:00,42439
2017-10-30 02:15:00,42341
2017-10-30 02:30:00,42502
2017-10-30 02:45:00,42499
2017-10-30 03:00:00,43208
2017-10-30 03:15:00,43407
2017-10-30 03:30:00,43822
2017-10-30 03:45:00,44246
2017-10-30 04:00:00,45508
2017-10-30 04:15:00,46185
2017-10-30 04:30:00,47215
2017-10-30 04:45:00,48630
2017-10-30 05:00:00,51644
2017-10-30 05:15:00,54208
2017-10-30 05:30:00,55869
2017-10-30 05:45:00,57740
2017-10-30 06:00:00,59534
2017-10-30 06:15:00,60524
2017-10-30 06:30:00,61579
2017-10-30 06:45:00,62352
2017-10-30 07:00:00,63288
2017-10-30 07:15:00,63151
2017-10-30 07:30:00,63697
2017-10-30 07:45:00,63887
2017-10-30 08:00:00,63900
2017-10-30 08:15:00,63998
2017-10-30 08:30:00,64500
2017-10-30 08:45:00,64903
2017-10-30 09:00:00,64966
2017-10-30 09:15:00,65305
2017-10-30 09:30:00,65296
2017-10-30 09:45:00,65527
2017-10-30 10:00:00,65706
2017-10-30 10:15:00,66286
2017-10-30 10:30:00,66764
2017-10-30 10:45:00,67216
2017-10-30 11:00:00,65945
2017-10-30 11:15:00,65736
2017-10-30 11:30:00,65348
2017-10-30 11:45:00,65026
2017-10-30 12:00:00,65491
2017-10-30 12:15:00,64797
2017-10-30 12:30:00,64142
2017-10-30 12:45:00,63889
2017-10-30 13:00:00,63444
2017-10-30 13:15:00,63580
2017-10-30 13:30:00,62894
2017-10-30 13:45:00,62526
2017-10-30 14:00:00,61392
2017-10-30 14:15:00,62477
2017-10-30 14:30:00,62361
2017-10-30 14:45:00,61890
2017-10-30 15:00:00,61522
2017-10-30 15:15:00,60502
2017-10-30 15:30:00,58975
2017-10-30 15:45:00,59080
