Date,Realised/System total load in MAW
2016-10-26 23:00:00,46901
2016-10-26 23:15:00,46236
2016-10-26 23:30:00,45949
2016-10-26 23:45:00,45738
2016-10-27 00:00:00,45400
2016-10-27 00:15:00,45448
2016-10-27 00:30:00,45504
2016-10-27 00:45:00,45316
2016-10-27 01:00:00,45563
2016-10-27 01:15:00,45686
2016-10-27 01:30:00,46084
2016-10-27 01:45:00,46211
2016-10-27 02:00:00,46513
2016-10-27 02:15:00,47234
2016-10-27 02:30:00,47748
2016-10-27 02:45:00,48528
2016-10-27 03:00:00,49918
2016-10-27 03:15:00,50672
2016-10-27 03:30:00,51906
2016-10-27 03:45:00,53181
2016-10-27 04:00:00,56089
2016-10-27 04:15:00,58733
2016-10-27 04:30:00,60817
2016-10-27 04:45:00,62687
2016-10-27 05:00:00,64581
2016-10-27 05:15:00,66058
2016-10-27 05:30:00,67230
2016-10-27 05:45:00,67811
2016-10-27 06:00:00,68033
2016-10-27 06:15:00,68028
2016-10-27 06:30:00,68342
2016-10-27 06:45:00,68506
2016-10-27 07:00:00,68043
2016-10-27 07:15:00,68230
2016-10-27 07:30:00,68534
2016-10-27 07:45:00,68573
2016-10-27 08:00:00,68776
2016-10-27 08:15:00,68885
2016-10-27 08:30:00,69114
2016-10-27 08:45:00,69423
2016-10-27 09:00:00,69525
2016-10-27 09:15:00,69652
2016-10-27 09:30:00,69721
2016-10-27 09:45:00,69352
2016-10-27 10:00:00,68744
2016-10-27 10:15:00,68914
2016-10-27 10:30:00,68817
2016-10-27 10:45:00,68607
2016-10-27 11:00:00,68388
2016-10-27 11:15:00,68132
2016-10-27 11:30:00,67884
2016-10-27 11:45:00,67175
2016-10-27 12:00:00,67193
2016-10-27 12:15:00,67074
2016-10-27 12:30:00,67100
2016-10-27 12:45:00,66724
2016-10-27 13:00:00,66744
2016-10-27 13:15:00,66161
2016-10-27 13:30:00,66057
2016-10-27 13:45:00,65447
2016-10-27 14:00:00,64918
2016-10-27 14:15:00,64709
2016-10-27 14:30:00,64509
2016-10-27 14:45:00,64424
2016-10-27 15:00:00,64682
2016-10-27 15:15:00,65021
2016-10-27 15:30:00,65451
2016-10-27 15:45:00,66275
2016-10-27 16:00:00,66798
2016-10-27 16:15:00,67797
2016-10-27 16:30:00,68743
2016-10-27 16:45:00,69189
2016-10-27 17:00:00,69165
2016-10-27 17:15:00,68522
2016-10-27 17:30:00,68161
2016-10-27 17:45:00,67410
2016-10-27 18:00:00,66412
2016-10-27 18:15:00,65034
2016-10-27 18:30:00,64079
2016-10-27 18:45:00,62856
2016-10-27 19:00:00,61769
2016-10-27 19:15:00,60796
2016-10-27 19:30:00,59838
2016-10-27 19:45:00,59101
2016-10-27 20:00:00,58613
2016-10-27 20:15:00,57709
2016-10-27 20:30:00,56469
2016-10-27 20:45:00,55385
2016-10-27 21:00:00,54329
2016-10-27 21:15:00,53088
2016-10-27 21:30:00,51802
2016-10-27 21:45:00,50846
2016-10-27 22:00:00,49619
2016-10-27 22:15:00,48641
2016-10-27 22:30:00,48067
2016-10-27 22:45:00,47315
2016-10-27 23:00:00,46965
2016-10-27 23:15:00,46593
2016-10-27 23:30:00,46249
2016-10-27 23:45:00,46131
2016-10-28 00:00:00,45874
2016-10-28 00:15:00,45496
2016-10-28 00:30:00,45543
2016-10-28 00:45:00,45827
2016-10-28 01:00:00,46062
2016-10-28 01:15:00,46063
2016-10-28 01:30:00,46051
2016-10-28 01:45:00,46562
2016-10-28 02:00:00,47125
2016-10-28 02:15:00,47319
2016-10-28 02:30:00,48056
2016-10-28 02:45:00,48730
2016-10-28 03:00:00,49899
2016-10-28 03:15:00,50519
2016-10-28 03:30:00,51639
2016-10-28 03:45:00,53181
2016-10-28 04:00:00,56294
2016-10-28 04:15:00,58823
2016-10-28 04:30:00,60707
2016-10-28 04:45:00,62463
2016-10-28 05:00:00,64635
2016-10-28 05:15:00,65938
2016-10-28 05:30:00,67260
2016-10-28 05:45:00,68069
2016-10-28 06:00:00,68629
2016-10-28 06:15:00,68711
2016-10-28 06:30:00,68851
2016-10-28 06:45:00,69061
2016-10-28 07:00:00,68617
2016-10-28 07:15:00,68678
2016-10-28 07:30:00,68906
2016-10-28 07:45:00,69124
2016-10-28 08:00:00,69250
2016-10-28 08:15:00,69301
2016-10-28 08:30:00,69911
2016-10-28 08:45:00,69857
2016-10-28 09:00:00,69766
2016-10-28 09:15:00,69825
2016-10-28 09:30:00,70093
2016-10-28 09:45:00,70095
2016-10-28 10:00:00,69936
2016-10-28 10:15:00,69576
2016-10-28 10:30:00,69797
2016-10-28 10:45:00,69313
2016-10-28 11:00:00,68935
2016-10-28 11:15:00,68316
2016-10-28 11:30:00,67852
2016-10-28 11:45:00,67254
2016-10-28 12:00:00,66604
2016-10-28 12:15:00,66399
2016-10-28 12:30:00,66193
2016-10-28 12:45:00,65791
2016-10-28 13:00:00,65577
2016-10-28 13:15:00,64994
2016-10-28 13:30:00,64715
2016-10-28 13:45:00,64202
2016-10-28 14:00:00,64267
2016-10-28 14:15:00,63953
2016-10-28 14:30:00,63815
2016-10-28 14:45:00,63698
2016-10-28 15:00:00,63688
2016-10-28 15:15:00,63537
2016-10-28 15:30:00,63771
2016-10-28 15:45:00,64781
2016-10-28 16:00:00,65476
2016-10-28 16:15:00,66101
2016-10-28 16:30:00,66542
2016-10-28 16:45:00,66699
2016-10-28 17:00:00,66291
2016-10-28 17:15:00,65459
2016-10-28 17:30:00,65068
2016-10-28 17:45:00,64526
2016-10-28 18:00:00,63486
2016-10-28 18:15:00,62038
2016-10-28 18:30:00,60602
