Date,Solar in MAW
2014-12-31 23:00:00,0
2014-12-31 23:15:00,0
2014-12-31 23:30:00,0
2014-12-31 23:45:00,0
2015-01-01 00:00:00,0
2015-01-01 00:15:00,0
2015-01-01 00:30:00,0
2015-01-01 00:45:00,0
2015-01-01 01:00:00,0
2015-01-01 01:15:00,0
2015-01-01 01:30:00,0
2015-01-01 01:45:00,0
2015-01-01 02:00:00,0
2015-01-01 02:15:00,0
2015-01-01 02:30:00,0
2015-01-01 02:45:00,0
2015-01-01 03:00:00,0
2015-01-01 03:15:00,0
2015-01-01 03:30:00,0
2015-01-01 03:45:00,0
2015-01-01 04:00:00,0
2015-01-01 04:15:00,0
2015-01-01 04:30:00,0
2015-01-01 04:45:00,0
2015-01-01 05:00:00,0
2015-01-01 05:15:00,0
2015-01-01 05:30:00,0
2015-01-01 05:45:00,0
2015-01-01 06:00:00,0
2015-01-01 06:15:00,0
2015-01-01 06:30:00,0
2015-01-01 06:45:00,0
2015-01-01 07:00:00,2
2015-01-01 07:15:00,11
2015-01-01 07:30:00,38
2015-01-01 07:45:00,166
2015-01-01 08:00:00,348
2015-01-01 08:15:00,568
2015-01-01 08:30:00,805
2015-01-01 08:45:00,1094
2015-01-01 09:00:00,1393
2015-01-01 09:15:00,1692
2015-01-01 09:30:00,1992
2015-01-01 09:45:00,2244
2015-01-01 10:00:00,2484
2015-01-01 10:15:00,2701
2015-01-01 10:30:00,2907
2015-01-01 10:45:00,3053
2015-01-01 11:00:00,3176
2015-01-01 11:15:00,3283
2015-01-01 11:30:00,3354
2015-01-01 11:45:00,3327
2015-01-01 12:00:00,3268
2015-01-01 12:15:00,3174
2015-01-01 12:30:00,3052
2015-01-01 12:45:00,2835
2015-01-01 13:00:00,2589
2015-01-01 13:15:00,2315
2015-01-01 13:30:00,2024
2015-01-01 13:45:00,1682
2015-01-01 14:00:00,1333
2015-01-01 14:15:00,988
2015-01-01 14:30:00,677
2015-01-01 14:45:00,442
2015-01-01 15:00:00,261
2015-01-01 15:15:00,129
2015-01-01 15:30:00,29
2015-01-01 15:45:00,11
2015-01-01 16:00:00,0
2015-01-01 16:15:00,0
2015-01-01 16:30:00,0
2015-01-01 16:45:00,0
2015-01-01 17:00:00,0
2015-01-01 17:15:00,0
2015-01-01 17:30:00,0
2015-01-01 17:45:00,0
2015-01-01 18:00:00,0
2015-01-01 18:15:00,0
2015-01-01 18:30:00,0
2015-01-01 18:45:00,0
2015-01-01 19:00:00,0
2015-01-01 19:15:00,0
2015-01-01 19:30:00,0
2015-01-01 19:45:00,0
2015-01-01 20:00:00,0
2015-01-01 20:15:00,0
2015-01-01 20:30:00,0
2015-01-01 20:45:00,0
2015-01-01 21:00:00,0
2015-01-01 21:15:00,0
2015-01-01 21:30:00,0
