Date,Day ahead/Solar in MAW
2016-10-26 22:00:00,0
2016-10-26 22:15:00,0
2016-10-26 22:30:00,0
2016-10-26 22:45:00,0
2016-10-26 23:00:00,0
2016-10-26 23:15:00,0
2016-10-26 23:30:00,0
2016-10-26 23:45:00,0
2016-10-27 00:00:00,0
2016-10-27 00:15:00,0
2016-10-27 00:30:00,0
2016-10-27 00:45:00,0
2016-10-27 01:00:00,0
2016-10-27 01:15:00,0
2016-10-27 01:30:00,0
2016-10-27 01:45:00,0
2016-10-27 02:00:00,0
2016-10-27 02:15:00,0
2016-10-27 02:30:00,0
2016-10-27 02:45:00,0
2016-10-27 03:00:00,0
2016-10-27 03:15:00,0
2016-10-27 03:30:00,0
2016-10-27 03:45:00,0
2016-10-27 04:00:00,0
2016-10-27 04:15:00,0
2016-10-27 04:30:00,0
2016-10-27 04:45:00,0
2016-10-27 05:00:00,0
2016-10-27 05:15:00,0
2016-10-27 05:30:00,10
2016-10-27 05:45:00,21
2016-10-27 06:00:00,86
2016-10-27 06:15:00,245
2016-10-27 06:30:00,528
2016-10-27 06:45:00,909
2016-10-27 07:00:00,1377
2016-10-27 07:15:00,1910
2016-10-27 07:30:00,2486
2016-10-27 07:45:00,3085
2016-10-27 08:00:00,3696
2016-10-27 08:15:00,4298
2016-10-27 08:30:00,4896
2016-10-27 08:45:00,5411
2016-10-27 09:00:00,5888
2016-10-27 09:15:00,6308
2016-10-27 09:30:00,6691
2016-10-27 09:45:00,7027
2016-10-27 10:00:00,7311
2016-10-27 10:15:00,7527
2016-10-27 10:30:00,7653
2016-10-27 10:45:00,7700
2016-10-27 11:00:00,7675
2016-10-27 11:15:00,7570
2016-10-27 11:30:00,7407
2016-10-27 11:45:00,7200
2016-10-27 12:00:00,6938
2016-10-27 12:15:00,6621
2016-10-27 12:30:00,6256
2016-10-27 12:45:00,5844
2016-10-27 13:00:00,5402
2016-10-27 13:15:00,4930
2016-10-27 13:30:00,4410
2016-10-27 13:45:00,3871
2016-10-27 14:00:00,3321
2016-10-27 14:15:00,2763
2016-10-27 14:30:00,2204
2016-10-27 14:45:00,1670
2016-10-27 15:00:00,1171
2016-10-27 15:15:00,720
2016-10-27 15:30:00,374
