Date,Day ahead/Wind Onshore in MAW
2014-12-31 23:00:00,7400
2014-12-31 23:15:00,7486
2014-12-31 23:30:00,7578
2014-12-31 23:45:00,7663
2015-01-01 00:00:00,7962
2015-01-01 00:15:00,8002
2015-01-01 00:30:00,8046
2015-01-01 00:45:00,8075
2015-01-01 01:00:00,8113
2015-01-01 01:15:00,8150
2015-01-01 01:30:00,8163
2015-01-01 01:45:00,8191
2015-01-01 02:00:00,8190
2015-01-01 02:15:00,8238
2015-01-01 02:30:00,8259
2015-01-01 02:45:00,8286
2015-01-01 03:00:00,8320
2015-01-01 03:15:00,8377
2015-01-01 03:30:00,8439
2015-01-01 03:45:00,8496
2015-01-01 04:00:00,8540
2015-01-01 04:15:00,8576
2015-01-01 04:30:00,8608
2015-01-01 04:45:00,8625
2015-01-01 05:00:00,8679
2015-01-01 05:15:00,8726
2015-01-01 05:30:00,8783
2015-01-01 05:45:00,8849
2015-01-01 06:00:00,8907
2015-01-01 06:15:00,8987
2015-01-01 06:30:00,9088
2015-01-01 06:45:00,9219
2015-01-01 07:00:00,9319
2015-01-01 07:15:00,9419
2015-01-01 07:30:00,9499
2015-01-01 07:45:00,9608
2015-01-01 08:00:00,9693
2015-01-01 08:15:00,9787
2015-01-01 08:30:00,9913
2015-01-01 08:45:00,10046
2015-01-01 09:00:00,10110
2015-01-01 09:15:00,10112
2015-01-01 09:30:00,10106
2015-01-01 09:45:00,10095
2015-01-01 10:00:00,10073
2015-01-01 10:15:00,10063
2015-01-01 10:30:00,10053
2015-01-01 10:45:00,10046
2015-01-01 11:00:00,10010
2015-01-01 11:15:00,10020
2015-01-01 11:30:00,10055
2015-01-01 11:45:00,10085
2015-01-01 12:00:00,10128
2015-01-01 12:15:00,10166
2015-01-01 12:30:00,10204
2015-01-01 12:45:00,10234
2015-01-01 13:00:00,10311
2015-01-01 13:15:00,10402
2015-01-01 13:30:00,10489
2015-01-01 13:45:00,10567
2015-01-01 14:00:00,10716
2015-01-01 14:15:00,10895
2015-01-01 14:30:00,11052
2015-01-01 14:45:00,11223
2015-01-01 15:00:00,11379
2015-01-01 15:15:00,11545
2015-01-01 15:30:00,11720
2015-01-01 15:45:00,11895
2015-01-01 16:00:00,12065
2015-01-01 16:15:00,12244
2015-01-01 16:30:00,12436
2015-01-01 16:45:00,12644
2015-01-01 17:00:00,12840
2015-01-01 17:15:00,13062
2015-01-01 17:30:00,13265
2015-01-01 17:45:00,13512
2015-01-01 18:00:00,13746
2015-01-01 18:15:00,14001
2015-01-01 18:30:00,14259
2015-01-01 18:45:00,14524
2015-01-01 19:00:00,14788
2015-01-01 19:15:00,15088
2015-01-01 19:30:00,15448
2015-01-01 19:45:00,15831
2015-01-01 20:00:00,16101
