Date,Wind Onshore in MAW
2017-10-26 22:00:00,13947
2017-10-26 22:15:00,14147
2017-10-26 22:30:00,14358
2017-10-26 22:45:00,14567
2017-10-26 23:00:00,14775
2017-10-26 23:15:00,14964
2017-10-26 23:30:00,15154
2017-10-26 23:45:00,15342
2017-10-27 00:00:00,15627
2017-10-27 00:15:00,15819
2017-10-27 00:30:00,16021
2017-10-27 00:45:00,16219
2017-10-27 01:00:00,16426
2017-10-27 01:15:00,16605
2017-10-27 01:30:00,16794
2017-10-27 01:45:00,16986
2017-10-27 02:00:00,17145
2017-10-27 02:15:00,17272
2017-10-27 02:30:00,17400
2017-10-27 02:45:00,17535
2017-10-27 03:00:00,17688
2017-10-27 03:15:00,17878
2017-10-27 03:30:00,18067
2017-10-27 03:45:00,18259
2017-10-27 04:00:00,18435
2017-10-27 04:15:00,18622
2017-10-27 04:30:00,18818
2017-10-27 04:45:00,19013
2017-10-27 05:00:00,19210
2017-10-27 05:15:00,19416
2017-10-27 05:30:00,19614
2017-10-27 05:45:00,19807
2017-10-27 06:00:00,19965
2017-10-27 06:15:00,20037
2017-10-27 06:30:00,20131
2017-10-27 06:45:00,20219
2017-10-27 07:00:00,20240
2017-10-27 07:15:00,20290
2017-10-27 07:30:00,20352
2017-10-27 07:45:00,20423
2017-10-27 08:00:00,20532
2017-10-27 08:15:00,20695
2017-10-27 08:30:00,20871
2017-10-27 08:45:00,21039
2017-10-27 09:00:00,21224
2017-10-27 09:15:00,21475
2017-10-27 09:30:00,21735
2017-10-27 09:45:00,21989
2017-10-27 10:00:00,22210
2017-10-27 10:15:00,22347
2017-10-27 10:30:00,22475
2017-10-27 10:45:00,22607
2017-10-27 11:00:00,22712
2017-10-27 11:15:00,22738
2017-10-27 11:30:00,22764
2017-10-27 11:45:00,22780
2017-10-27 12:00:00,22717
2017-10-27 12:15:00,22454
2017-10-27 12:30:00,22172
2017-10-27 12:45:00,21881
2017-10-27 13:00:00,21566
2017-10-27 13:15:00,21180
2017-10-27 13:30:00,20781
2017-10-27 13:45:00,20388
2017-10-27 14:00:00,19980
2017-10-27 14:15:00,19554
2017-10-27 14:30:00,19143
2017-10-27 14:45:00,18709
2017-10-27 15:00:00,18305
2017-10-27 15:15:00,17926
2017-10-27 15:30:00,17529
2017-10-27 15:45:00,17144
2017-10-27 16:00:00,16769
2017-10-27 16:15:00,16446
2017-10-27 16:30:00,16125
2017-10-27 16:45:00,15796
2017-10-27 17:00:00,15501
2017-10-27 17:15:00,15330
2017-10-27 17:30:00,15161
2017-10-27 17:45:00,14995
2017-10-27 18:00:00,14843
2017-10-27 18:15:00,14715
2017-10-27 18:30:00,14595
2017-10-27 18:45:00,14471
2017-10-27 19:00:00,14340
2017-10-27 19:15:00,14306
2017-10-27 19:30:00,14283
2017-10-27 19:45:00,14254
2017-10-27 20:00:00,14254
2017-10-27 20:15:00,14337
2017-10-27 20:30:00,14427
2017-10-27 20:45:00,14517
2017-10-27 21:00:00,14636
2017-10-27 21:15:00,14860
2017-10-27 21:30:00,15088
2017-10-27 21:45:00,15309
2017-10-27 22:00:00,16967
2017-10-27 22:15:00,17264
2017-10-27 22:30:00,17566
2017-10-27 22:45:00,17869
2017-10-27 23:00:00,18182
2017-10-27 23:15:00,18504
2017-10-27 23:30:00,18840
2017-10-27 23:45:00,19170
2017-10-28 00:00:00,19571
2017-10-28 00:15:00,19862
2017-10-28 00:30:00,20159
2017-10-28 00:45:00,20454
2017-10-28 01:00:00,20765
2017-10-28 01:15:00,21052
2017-10-28 01:30:00,21355
2017-10-28 01:45:00,21664
2017-10-28 02:00:00,21984
2017-10-28 02:15:00,22282
2017-10-28 02:30:00,22593
2017-10-28 02:45:00,22903
2017-10-28 03:00:00,23178
2017-10-28 03:15:00,23405
2017-10-28 03:30:00,23642
2017-10-28 03:45:00,23873
2017-10-28 04:00:00,24127
2017-10-28 04:15:00,24415
2017-10-28 04:30:00,24705
2017-10-28 04:45:00,25002
2017-10-28 05:00:00,25311
2017-10-28 05:15:00,25635
2017-10-28 05:30:00,25956
2017-10-28 05:45:00,26272
2017-10-28 06:00:00,26569
2017-10-28 06:15:00,26892
2017-10-28 06:30:00,27226
2017-10-28 06:45:00,27555
2017-10-28 07:00:00,27900
2017-10-28 07:15:00,28283
2017-10-28 07:30:00,28676
2017-10-28 07:45:00,29063
2017-10-28 08:00:00,29432
2017-10-28 08:15:00,29863
2017-10-28 08:30:00,30299
2017-10-28 08:45:00,30719
2017-10-28 09:00:00,31091
2017-10-28 09:15:00,31304
2017-10-28 09:30:00,31531
2017-10-28 09:45:00,31758
2017-10-28 10:00:00,31965
2017-10-28 10:15:00,32180
2017-10-28 10:30:00,32386
2017-10-28 10:45:00,32591
2017-10-28 11:00:00,32773
2017-10-28 11:15:00,32903
2017-10-28 11:30:00,33025
2017-10-28 11:45:00,33142
2017-10-28 12:00:00,33237
2017-10-28 12:15:00,33321
2017-10-28 12:30:00,33380
2017-10-28 12:45:00,33423
2017-10-28 13:00:00,33458
2017-10-28 13:15:00,33388
2017-10-28 13:30:00,33326
2017-10-28 13:45:00,33269
2017-10-28 14:00:00,33215
2017-10-28 14:15:00,33153
2017-10-28 14:30:00,33086
2017-10-28 14:45:00,33013
2017-10-28 15:00:00,32957
2017-10-28 15:15:00,32974
2017-10-28 15:30:00,32994
2017-10-28 15:45:00,33012
2017-10-28 16:00:00,33041
2017-10-28 16:15:00,33094
2017-10-28 16:30:00,33151
2017-10-28 16:45:00,33207
2017-10-28 17:00:00,33259
2017-10-28 17:15:00,33337
2017-10-28 17:30:00,33410
2017-10-28 17:45:00,33479
2017-10-28 18:00:00,33560
2017-10-28 18:15:00,33643
2017-10-28 18:30:00,33720
2017-10-28 18:45:00,33790
2017-10-28 19:00:00,33845
