Date,Realised/Solar in MAW
2017-10-26 23:00:00,0
2017-10-26 23:15:00,0
2017-10-26 23:30:00,0
2017-10-26 23:45:00,0
2017-10-27 00:00:00,0
2017-10-27 00:15:00,0
2017-10-27 00:30:00,0
2017-10-27 00:45:00,0
2017-10-27 01:00:00,0
2017-10-27 01:15:00,0
2017-10-27 01:30:00,0
2017-10-27 01:45:00,0
2017-10-27 02:00:00,0
2017-10-27 02:15:00,0
2017-10-27 02:30:00,0
2017-10-27 02:45:00,0
2017-10-27 03:00:00,0
2017-10-27 03:15:00,0
2017-10-27 03:30:00,0
2017-10-27 03:45:00,0
2017-10-27 04:00:00,0
2017-10-27 04:15:00,0
2017-10-27 04:30:00,0
2017-10-27 04:45:00,0
2017-10-27 05:00:00,0
2017-10-27 05:15:00,0
2017-10-27 05:30:00,0
2017-10-27 05:45:00,2
2017-10-27 06:00:00,33
2017-10-27 06:15:00,130
2017-10-27 06:30:00,369
2017-10-27 06:45:00,701
2017-10-27 07:00:00,1176
2017-10-27 07:15:00,1755
2017-10-27 07:30:00,2388
2017-10-27 07:45:00,3163
2017-10-27 08:00:00,3957
2017-10-27 08:15:00,4579
2017-10-27 08:30:00,5118
2017-10-27 08:45:00,5681
2017-10-27 09:00:00,6348
2017-10-27 09:15:00,6652
2017-10-27 09:30:00,7143
2017-10-27 09:45:00,7628
2017-10-27 10:00:00,8009
2017-10-27 10:15:00,8215
2017-10-27 10:30:00,8750
2017-10-27 10:45:00,8829
2017-10-27 11:00:00,9162
2017-10-27 11:15:00,9722
2017-10-27 11:30:00,9769
2017-10-27 11:45:00,9620
2017-10-27 12:00:00,9578
2017-10-27 12:15:00,8979
2017-10-27 12:30:00,8615
2017-10-27 12:45:00,8115
2017-10-27 13:00:00,7651
2017-10-27 13:15:00,7130
2017-10-27 13:30:00,6421
2017-10-27 13:45:00,5783
2017-10-27 14:00:00,5061
2017-10-27 14:15:00,4259
2017-10-27 14:30:00,3319
2017-10-27 14:45:00,2468
2017-10-27 15:00:00,1701
2017-10-27 15:15:00,1003
2017-10-27 15:30:00,383
2017-10-27 15:45:00,96
2017-10-27 16:00:00,15
2017-10-27 16:15:00,1
2017-10-27 16:30:00,1
2017-10-27 16:45:00,1
2017-10-27 17:00:00,1
2017-10-27 17:15:00,1
2017-10-27 17:30:00,1
2017-10-27 17:45:00,1
2017-10-27 18:00:00,1
2017-10-27 18:15:00,1
2017-10-27 18:30:00,1
2017-10-27 18:45:00,1
2017-10-27 19:00:00,1
2017-10-27 19:15:00,1
2017-10-27 19:30:00,1
2017-10-27 19:45:00,1
2017-10-27 20:00:00,1
2017-10-27 20:15:00,0
2017-10-27 20:30:00,0
2017-10-27 20:45:00,0
2017-10-27 21:00:00,0
2017-10-27 21:15:00,0
2017-10-27 21:30:00,0
2017-10-27 21:45:00,0
2017-10-27 22:00:00,0
2017-10-27 22:15:00,0
2017-10-27 22:30:00,0
2017-10-27 22:45:00,0
2017-10-27 23:00:00,0
2017-10-27 23:15:00,0
2017-10-27 23:30:00,0
2017-10-27 23:45:00,0
2017-10-28 00:00:00,0
2017-10-28 00:15:00,0
2017-10-28 00:30:00,0
2017-10-28 00:45:00,0
2017-10-28 01:00:00,0
2017-10-28 01:15:00,0
2017-10-28 01:30:00,0
2017-10-28 01:45:00,0
2017-10-28 02:00:00,0
2017-10-28 02:15:00,0
2017-10-28 02:30:00,0
2017-10-28 02:45:00,0
2017-10-28 03:00:00,0
2017-10-28 03:15:00,0
2017-10-28 03:30:00,0
2017-10-28 03:45:00,0
2017-10-28 04:00:00,0
2017-10-28 04:15:00,0
2017-10-28 04:30:00,0
2017-10-28 04:45:00,0
2017-10-28 05:00:00,0
2017-10-28 05:15:00,0
2017-10-28 05:30:00,0
2017-10-28 05:45:00,1
2017-10-28 06:00:00,20
2017-10-28 06:15:00,136
2017-10-28 06:30:00,398
2017-10-28 06:45:00,709
2017-10-28 07:00:00,1061
2017-10-28 07:15:00,1476
2017-10-28 07:30:00,1799
2017-10-28 07:45:00,2121
2017-10-28 08:00:00,2564
2017-10-28 08:15:00,2987
2017-10-28 08:30:00,3333
2017-10-28 08:45:00,3688
2017-10-28 09:00:00,4000
2017-10-28 09:15:00,4175
2017-10-28 09:30:00,4373
2017-10-28 09:45:00,4525
2017-10-28 10:00:00,4735
2017-10-28 10:15:00,4780
2017-10-28 10:30:00,4820
2017-10-28 10:45:00,4793
2017-10-28 11:00:00,4833
2017-10-28 11:15:00,4764
2017-10-28 11:30:00,4537
2017-10-28 11:45:00,4301
2017-10-28 12:00:00,4199
2017-10-28 12:15:00,4074
2017-10-28 12:30:00,3744
2017-10-28 12:45:00,3560
2017-10-28 13:00:00,3185
2017-10-28 13:15:00,2877
2017-10-28 13:30:00,2511
2017-10-28 13:45:00,2142
2017-10-28 14:00:00,1815
2017-10-28 14:15:00,1473
2017-10-28 14:30:00,1109
2017-10-28 14:45:00,769
2017-10-28 15:00:00,473
2017-10-28 15:15:00,245
2017-10-28 15:30:00,89
2017-10-28 15:45:00,10
2017-10-28 16:00:00,1
2017-10-28 16:15:00,0
2017-10-28 16:30:00,0
2017-10-28 16:45:00,0
2017-10-28 17:00:00,0
2017-10-28 17:15:00,0
2017-10-28 17:30:00,0
2017-10-28 17:45:00,0
2017-10-28 18:00:00,0
2017-10-28 18:15:00,0
2017-10-28 18:30:00,0
2017-10-28 18:45:00,0
2017-10-28 19:00:00,0
2017-10-28 19:15:00,0
2017-10-28 19:30:00,0
2017-10-28 19:45:00,0
2017-10-28 20:00:00,0
2017-10-28 20:15:00,0
2017-10-28 20:30:00,0
2017-10-28 20:45:00,0
2017-10-28 21:00:00,0
2017-10-28 21:15:00,0
2017-10-28 21:30:00,0
2017-10-28 21:45:00,0
2017-10-28 22:00:00,0
2017-10-28 22:15:00,0
2017-10-28 22:30:00,0
2017-10-28 22:45:00,0
2017-10-28 23:00:00,0
2017-10-28 23:15:00,0
2017-10-28 23:30:00,0
2017-10-28 23:45:00,0
2017-10-29 00:00:00,0
2017-10-29 00:15:00,0
2017-10-29 00:30:00,0
2017-10-29 00:45:00,0
2017-10-29 01:00:00,0
2017-10-29 01:15:00,0
2017-10-29 01:30:00,0
2017-10-29 01:45:00,0
2017-10-29 02:00:00,0
2017-10-29 02:15:00,0
2017-10-29 02:30:00,0
2017-10-29 02:45:00,0
2017-10-29 03:00:00,0
2017-10-29 03:15:00,0
2017-10-29 03:30:00,0
2017-10-29 03:45:00,0
2017-10-29 04:00:00,0
2017-10-29 04:15:00,0
2017-10-29 04:30:00,0
2017-10-29 04:45:00,0
2017-10-29 05:00:00,0
2017-10-29 05:15:00,0
2017-10-29 05:30:00,0
2017-10-29 05:45:00,1
2017-10-29 06:00:00,18
2017-10-29 06:15:00,100
2017-10-29 06:30:00,337
2017-10-29 06:45:00,747
2017-10-29 07:00:00,1173
2017-10-29 07:15:00,1641
2017-10-29 07:30:00,2196
2017-10-29 07:45:00,2702
2017-10-29 08:00:00,3212
2017-10-29 08:15:00,3630
2017-10-29 08:30:00,4188
2017-10-29 08:45:00,4786
2017-10-29 09:00:00,5300
2017-10-29 09:15:00,6099
2017-10-29 09:30:00,6727
2017-10-29 09:45:00,7467
2017-10-29 10:00:00,8086
2017-10-29 10:15:00,8656
2017-10-29 10:30:00,9028
2017-10-29 10:45:00,9101
2017-10-29 11:00:00,9301
2017-10-29 11:15:00,9400
2017-10-29 11:30:00,9624
2017-10-29 11:45:00,9659
2017-10-29 12:00:00,9559
2017-10-29 12:15:00,9499
2017-10-29 12:30:00,9350
2017-10-29 12:45:00,8868
2017-10-29 13:00:00,8274
2017-10-29 13:15:00,7696
2017-10-29 13:30:00,7000
2017-10-29 13:45:00,6202
2017-10-29 14:00:00,5412
2017-10-29 14:15:00,4507
2017-10-29 14:30:00,3614
2017-10-29 14:45:00,2647
2017-10-29 15:00:00,1814
2017-10-29 15:15:00,937
2017-10-29 15:30:00,332
2017-10-29 15:45:00,67
2017-10-29 16:00:00,7
2017-10-29 16:15:00,0
2017-10-29 16:30:00,0
2017-10-29 16:45:00,0
2017-10-29 17:00:00,0
2017-10-29 17:15:00,0
2017-10-29 17:30:00,0
2017-10-29 17:45:00,0
2017-10-29 18:00:00,0
2017-10-29 18:15:00,0
2017-10-29 18:30:00,0
2017-10-29 18:45:00,0
2017-10-29 19:00:00,0
2017-10-29 19:15:00,0
2017-10-29 19:30:00,0
2017-10-29 19:45:00,0
2017-10-29 20:00:00,0
2017-10-29 20:15:00,0
2017-10-29 20:30:00,0
2017-10-29 20:45:00,0
2017-10-29 21:00:00,0
2017-10-29 21:15:00,0
2017-10-29 21:30:00,0
2017-10-29 21:45:00,0
2017-10-29 22:00:00,0
2017-10-29 22:15:00,0
2017-10-29 22:30:00,0
2017-10-29 22:45:00,0
2017-10-29 23:00:00,0
2017-10-29 23:15:00,0
2017-10-29 23:30:00,0
2017-10-29 23:45:00,0
2017-10-30 00:00:00,0
2017-10-30 00:15:00,0
2017-10-30 00:30:00,0
2017-10-30 00:45:00,0
2017-10-30 01:00:00,0
2017-10-30 01:15:00,0
2017-10-30 01:30:00,0
2017-10-30 01:45:00,0
2017-10-30 02:00:00,0
2017-10-30 02:15:00,0
2017-10-30 02:30:00,0
2017-10-30 02:45:00,0
2017-10-30 03:00:00,0
2017-10-30 03:15:00,0
2017-10-30 03:30:00,0
2017-10-30 03:45:00,0
2017-10-30 04:00:00,0
2017-10-30 04:15:00,0
2017-10-30 04:30:00,0
2017-10-30 04:45:00,0
2017-10-30 05:00:00,0
2017-10-30 05:15:00,0
2017-10-30 05:30:00,0
2017-10-30 05:45:00,0
2017-10-30 06:00:00,37
2017-10-30 06:15:00,254
2017-10-30 06:30:00,860
2017-10-30 06:45:00,1648
2017-10-30 07:00:00,2379
2017-10-30 07:15:00,3365
2017-10-30 07:30:00,4390
2017-10-30 07:45:00,5514
2017-10-30 08:00:00,6470
2017-10-30 08:15:00,7391
2017-10-30 08:30:00,8453
2017-10-30 08:45:00,9474
2017-10-30 09:00:00,10168
2017-10-30 09:15:00,11058
2017-10-30 09:30:00,11771
2017-10-30 09:45:00,12445
2017-10-30 10:00:00,12755
2017-10-30 10:15:00,12813
2017-10-30 10:30:00,12790
2017-10-30 10:45:00,12654
2017-10-30 11:00:00,12656
2017-10-30 11:15:00,12222
2017-10-30 11:30:00,11978
2017-10-30 11:45:00,11667
2017-10-30 12:00:00,11013
2017-10-30 12:15:00,10310
2017-10-30 12:30:00,9574
2017-10-30 12:45:00,8818
2017-10-30 13:00:00,8329
2017-10-30 13:15:00,7357
2017-10-30 13:30:00,6536
2017-10-30 13:45:00,5960
2017-10-30 14:00:00,4921
2017-10-30 14:15:00,3984
2017-10-30 14:30:00,3007
2017-10-30 14:45:00,2178
2017-10-30 15:00:00,1357
2017-10-30 15:15:00,694
