Date,Realised/Wind Onshore in MAW
2014-12-31 23:00:00,8113
2014-12-31 23:15:00,8092
2014-12-31 23:30:00,8161
2014-12-31 23:45:00,8146
2015-01-01 00:00:00,8183
2015-01-01 00:15:00,8301
2015-01-01 00:30:00,8297
2015-01-01 00:45:00,8409
2015-01-01 01:00:00,8538
2015-01-01 01:15:00,8535
2015-01-01 01:30:00,8515
2015-01-01 01:45:00,8572
2015-01-01 02:00:00,8598
2015-01-01 02:15:00,8501
2015-01-01 02:30:00,8486
2015-01-01 02:45:00,8623
2015-01-01 03:00:00,8736
2015-01-01 03:15:00,8724
2015-01-01 03:30:00,8599
2015-01-01 03:45:00,8515
2015-01-01 04:00:00,8804
2015-01-01 04:15:00,8746
2015-01-01 04:30:00,8682
2015-01-01 04:45:00,8615
2015-01-01 05:00:00,8730
2015-01-01 05:15:00,8944
2015-01-01 05:30:00,9383
2015-01-01 05:45:00,9612
2015-01-01 06:00:00,9623
2015-01-01 06:15:00,9748
2015-01-01 06:30:00,9916
2015-01-01 06:45:00,9957
2015-01-01 07:00:00,9861
2015-01-01 07:15:00,9909
2015-01-01 07:30:00,9527
2015-01-01 07:45:00,9435
2015-01-01 08:00:00,9340
2015-01-01 08:15:00,9540
2015-01-01 08:30:00,9607
2015-01-01 08:45:00,9520
2015-01-01 09:00:00,9681
2015-01-01 09:15:00,9875
2015-01-01 09:30:00,10160
2015-01-01 09:45:00,10384
2015-01-01 10:00:00,10569
2015-01-01 10:15:00,10783
2015-01-01 10:30:00,10912
2015-01-01 10:45:00,11186
2015-01-01 11:00:00,11239
2015-01-01 11:15:00,11603
2015-01-01 11:30:00,11710
2015-01-01 11:45:00,11749
2015-01-01 12:00:00,11854
2015-01-01 12:15:00,12129
2015-01-01 12:30:00,12058
2015-01-01 12:45:00,11868
2015-01-01 13:00:00,11558
2015-01-01 13:15:00,11491
2015-01-01 13:30:00,11323
2015-01-01 13:45:00,11212
2015-01-01 14:00:00,11109
2015-01-01 14:15:00,11139
2015-01-01 14:30:00,11329
2015-01-01 14:45:00,11729
2015-01-01 15:00:00,12178
2015-01-01 15:15:00,12804
2015-01-01 15:30:00,13367
2015-01-01 15:45:00,13883
2015-01-01 16:00:00,14226
2015-01-01 16:15:00,14667
2015-01-01 16:30:00,15231
2015-01-01 16:45:00,15522
2015-01-01 17:00:00,15887
2015-01-01 17:15:00,16240
2015-01-01 17:30:00,16486
2015-01-01 17:45:00,16763
2015-01-01 18:00:00,17157
2015-01-01 18:15:00,17352
2015-01-01 18:30:00,17608
2015-01-01 18:45:00,17821
2015-01-01 19:00:00,18189
2015-01-01 19:15:00,18471
2015-01-01 19:30:00,18765
2015-01-01 19:45:00,19211
2015-01-01 20:00:00,19480
2015-01-01 20:15:00,19702
2015-01-01 20:30:00,19898
2015-01-01 20:45:00,20246
2015-01-01 21:00:00,20531
2015-01-01 21:15:00,20689
2015-01-01 21:30:00,20658
2015-01-01 21:45:00,20986
2015-01-01 22:00:00,21076
2015-01-01 22:15:00,21421
2015-01-01 22:30:00,21859
2015-01-01 22:45:00,22000
2015-01-01 23:00:00,22117
2015-01-01 23:15:00,21867
2015-01-01 23:30:00,22129
2015-01-01 23:45:00,22554
2015-01-02 00:00:00,22844
2015-01-02 00:15:00,22903
2015-01-02 00:30:00,23275
2015-01-02 00:45:00,23610
2015-01-02 01:00:00,23877
2015-01-02 01:15:00,23794
2015-01-02 01:30:00,23945
2015-01-02 01:45:00,24248
2015-01-02 02:00:00,24447
2015-01-02 02:15:00,24532
2015-01-02 02:30:00,24715
2015-01-02 02:45:00,25141
2015-01-02 03:00:00,25174
2015-01-02 03:15:00,25305
2015-01-02 03:30:00,25527
2015-01-02 03:45:00,25538
2015-01-02 04:00:00,25790
2015-01-02 04:15:00,25883
2015-01-02 04:30:00,25891
2015-01-02 04:45:00,25571
2015-01-02 05:00:00,25914
2015-01-02 05:15:00,25971
2015-01-02 05:30:00,26059
2015-01-02 05:45:00,25485
2015-01-02 06:00:00,25644
2015-01-02 06:15:00,25740
2015-01-02 06:30:00,25710
2015-01-02 06:45:00,25684
2015-01-02 07:00:00,25864
2015-01-02 07:15:00,26193
2015-01-02 07:30:00,26403
2015-01-02 07:45:00,25979
2015-01-02 08:00:00,25943
2015-01-02 08:15:00,25892
2015-01-02 08:30:00,25266
2015-01-02 08:45:00,25166
2015-01-02 09:00:00,25291
2015-01-02 09:15:00,25105
2015-01-02 09:30:00,25207
2015-01-02 09:45:00,25339
2015-01-02 10:00:00,25358
2015-01-02 10:15:00,25356
2015-01-02 10:30:00,25467
2015-01-02 10:45:00,25382
2015-01-02 11:00:00,25300
2015-01-02 11:15:00,25202
2015-01-02 11:30:00,25214
2015-01-02 11:45:00,25195
2015-01-02 12:00:00,25209
2015-01-02 12:15:00,25439
2015-01-02 12:30:00,25353
2015-01-02 12:45:00,25452
2015-01-02 13:00:00,25138
2015-01-02 13:15:00,24874
2015-01-02 13:30:00,24700
2015-01-02 13:45:00,24534
2015-01-02 14:00:00,24739
2015-01-02 14:15:00,24426
2015-01-02 14:30:00,24393
2015-01-02 14:45:00,24414
2015-01-02 15:00:00,24570
2015-01-02 15:15:00,24367
2015-01-02 15:30:00,24078
2015-01-02 15:45:00,23887
2015-01-02 16:00:00,23746
2015-01-02 16:15:00,23651
2015-01-02 16:30:00,23785
2015-01-02 16:45:00,24056
2015-01-02 17:00:00,24414
2015-01-02 17:15:00,24541
2015-01-02 17:30:00,24628
2015-01-02 17:45:00,24557
2015-01-02 18:00:00,24513
2015-01-02 18:15:00,24276
2015-01-02 18:30:00,24264
2015-01-02 18:45:00,24071
2015-01-02 19:00:00,24026
2015-01-02 19:15:00,23779
2015-01-02 19:30:00,23542
2015-01-02 19:45:00,23721
2015-01-02 20:00:00,23743
