Station,Longitude,Latitude
DEBB007,13.5268,51.4627
DEBB021,13.0599,52.4014
DEBB029,14.2851,53.0643
DEBB032,14.6382,52.1463
DEBB044,14.3280,51.7566
DEBB045,14.5386,52.3373
DEBB048,12.8095,52.9319
DEBB049,12.5484,52.4093
DEBB053,14.0153,52.5638
DEBB054,13.0375,52.3939
DEBB055,12.5523,52.4204
DEBB060,13.8222,52.8325
DEBB063,11.7385,52.9988
DEBB064,14.3345,51.7468
DEBB065,12.5614,52.1942
DEBB066,14.0571,51.8976
DEBB067,12.8852,52.6086
DEBB068,13.5823,52.6777
DEBB073,13.0946,52.3889
DEBB075,13.1237,52.4842
DEBB083,14.3764,51.5645
DEBB086,13.4243,52.3497
DEBB087,14.3255,51.7541
DEBB092,14.5260,52.3347
DEBB099,13.8483,52.4819
DEBE010,13.3493,52.5430
DEBE018,13.3488,52.4858
DEBE027,13.3681,52.3984
DEBE032,13.2251,52.4732
DEBE034,13.4308,52.4895
DEBE051,13.4831,52.6442
DEBE056,13.6471,52.4477
DEBE061,13.3183,52.4636
DEBE062,13.2961,52.6533
DEBE063,13.4417,52.4675
DEBE064,13.4340,52.4817
DEBE065,13.4699,52.5141
DEBE066,13.5295,52.4853
DEBE067,13.3330,52.5066
DEBE068,13.4188,52.5136
DEBE069,13.3877,52.4381
DEBW004,8.4067,49.0766
DEBW005,8.4653,49.5441
DEBW009,8.6767,49.4195
DEBW010,8.7001,49.3007
DEBW013,9.2297,48.8088
DEBW015,9.2248,49.1655
DEBW019,9.9790,48.3968
DEBW022,7.8023,48.5782
DEBW023,7.6333,47.5882
DEBW024,9.1728,48.8992
DEBW027,9.2073,48.4889
DEBW029,10.0963,48.8479
DEBW031,7.7645,47.8099
DEBW033,8.6655,48.8890
DEBW038,9.4857,47.6601
DEBW039,8.4636,48.0487
DEBW042,9.2278,48.6781
DEBW046,9.8003,48.0899
DEBW052,9.1693,47.6644
DEBW056,9.7332,49.1079
DEBW059,9.6579,49.6348
DEBW073,7.5680,47.8190
DEBW076,8.2202,48.7731
DEBW080,8.3872,49.0080
DEBW081,8.3556,49.0286
DEBW084,7.8321,48.0015
DEBW087,9.2076,48.3458
DEBW098,8.4720,49.4926
DEBW099,9.1807,48.7831
DEBW107,9.0512,48.5077
DEBW112,8.9044,48.6456
DEBW116,9.1845,48.7687
DEBW117,9.1900,48.8892
DEBW118,9.1910,48.7881
DEBW120,9.0165,48.8010
DEBW122,7.8599,47.9882
DEBW125,8.5263,49.0037
DEBW136,9.0580,48.5202
DEBW147,9.2108,48.4893
DEBW152,9.2259,49.1460
DEBW156,8.3906,48.2292
DEBY001,10.5723,49.3049
DEBY002,12.1887,50.0582
DEBY004,9.1715,49.8694
DEBY005,9.1180,49.9915
DEBY006,10.8950,48.3646
DEBY007,10.8884,48.3766
DEBY009,10.8877,49.8983
DEBY012,12.8293,48.1772
DEBY013,12.7814,48.1828
DEBY020,11.8975,50.3206
DEBY021,11.4288,48.7694
DEBY026,11.6383,48.7671
DEBY028,11.8792,48.9095
DEBY030,11.9488,48.9042
DEBY031,10.3066,47.7251
DEBY032,11.4426,50.1031
DEBY033,12.1571,48.5398
DEBY035,9.6889,47.5575
DEBY037,11.5649,48.1373
DEBY039,11.5547,48.1545
DEBY047,11.7216,50.3232
DEBY049,11.7778,48.8532
DEBY052,10.0083,48.3971
DEBY053,11.0884,49.4459
DEBY056,10.9847,49.4722
DEBY058,11.0248,49.4622
DEBY062,13.1289,48.9724
DEBY063,12.1016,49.0152
DEBY067,12.1281,49.3220
DEBY068,10.2321,50.0484
DEBY072,12.5489,49.4385
DEBY075,12.1594,49.6790
DEBY077,9.9564,49.8047
DEBY079,12.8912,47.7334
DEBY088,12.5382,48.0217
DEBY089,11.6480,48.1732
DEBY093,11.7863,49.4880
DEBY099,10.9031,48.3260
DEBY109,11.2202,47.9688
DEBY110,10.8962,48.3702
DEBY111,11.5701,49.9436
DEBY113,10.9635,49.6059
DEBY115,11.5365,48.1496
DEBY118,13.4220,48.5736
DEBY119,9.9477,49.7905
DEBY120,11.0361,49.4405
DEBY121,12.1883,47.6485
DEBY122,10.4042,47.5180
DEBY124,10.3250,49.4441
DEBY187,10.5977,48.9522
DEBY188,11.0279,49.3227
DEBY189,11.4645,48.1817
DEBY196,11.0572,47.4771
DEHB001,8.8158,53.0772
DEHB002,8.9170,53.0600
DEHB004,8.6255,53.1809
DEHB005,8.5694,53.5625
DEHB006,8.8252,53.0787
DEHB011,8.5988,53.5853
DEHB012,8.7351,53.1317
DEHB013,8.6951,53.1177
DEHE001,8.6646,49.8723
DEHE005,8.5425,50.1018
DEHE008,8.7463,50.1253
DEHE011,8.9216,50.1358
DEHE013,9.4834,51.3142
DEHE018,8.4515,50.0103
DEHE020,8.5006,50.5672
DEHE022,8.2449,50.0503
DEHE024,9.7746,51.2918
DEHE026,9.3994,50.1644
DEHE028,8.8173,49.6535
DEHE030,8.7693,50.8043
DEHE032,9.8003,50.9700
DEHE037,8.2303,50.0772
DEHE039,9.4594,50.7704
DEHE040,8.6537,49.8695
DEHE041,8.6919,50.1246
DEHE042,8.6844,50.5330
DEHE043,8.5168,49.8252
DEHE044,8.0610,50.3832
DEHE045,9.0020,49.6725
DEHE046,8.9282,51.4309
DEHE049,9.4911,51.3121
DEHE050,9.2712,51.3608
DEHE051,9.9359,50.4977
DEHE052,8.4461,50.2219
DEHE058,9.6822,50.5493
DEHE059,9.6849,50.5500
DEHE060,9.0318,51.1548
DEHE061,8.6686,50.5841
DEHE062,8.7705,50.8072
DEHE063,8.6420,49.6432
DEHE112,8.2289,50.0721
DEHE116,8.7849,50.1015
DEHE131,8.0599,50.3864
DEHH008,9.9679,53.5641
DEHH015,10.0212,53.5233
DEHH016,10.0817,53.5290
DEHH021,10.0836,53.4877
DEHH026,9.9572,53.5606
DEHH033,9.9980,53.6383
DEHH047,10.1106,53.6307
DEHH049,9.7862,53.5681
DEHH050,9.8572,53.4809
DEHH059,9.9906,53.5079
DEHH064,9.9446,53.5644
DEHH068,10.0539,53.5923
DEHH070,9.9430,53.5557
DEHH072,9.8441,53.5360
DEHH073,9.8327,53.5321
DEHH074,10.1028,53.5385
DEHH079,9.9448,53.5453
DEHH081,9.9816,53.5292
DEMV003,13.2664,53.5598
DEMV004,12.0647,53.8178
DEMV007,12.1741,54.1616
DEMV012,14.2574,53.5205
DEMV017,11.3630,53.3024
DEMV019,12.1755,53.7818
DEMV020,12.1420,54.0923
DEMV021,12.0800,54.1713
DEMV022,12.0996,54.0926
DEMV023,11.3983,53.6318
DEMV024,12.4639,53.3963
DEMV025,13.0810,54.3192
DEMV026,13.3421,54.3235
DEMV027,13.7793,54.0532
DEMV028,11.4760,53.9023
DEMV031,12.0979,54.1773
DENI011,10.4736,52.2269
DENI016,10.4813,51.9016
DENI020,10.8164,52.4408
DENI028,10.2385,51.5076
DENI029,7.2073,53.3624
DENI031,8.0906,53.5962
DENI038,8.0529,52.2553
DENI041,9.0626,52.1702
DENI042,9.9498,51.5511
DENI043,7.3175,52.4986
DENI048,9.7155,52.3595
DENI051,10.6125,51.7582
DENI052,9.6230,52.8294
DENI053,7.9426,52.9980
DENI054,9.7061,52.3629
DENI058,7.2140,53.7153
DENI059,8.8012,53.8302
DENI060,11.1671,52.9570
DENI062,10.4565,53.2470
DENI063,9.6850,53.5242
DENI067,8.0415,52.2703
DENI068,9.9283,51.5302
DENI070,10.4559,52.1537
DENI071,10.4228,51.6137
DENI075,10.5406,52.2667
DENI077,9.5546,51.7088
DENI143,8.2121,53.1428
DENI157,10.7937,52.4279
DENW002,7.3314,51.6414
DENW006,7.5698,51.5922
DENW008,7.4574,51.5369
DENW010,7.6938,51.5475
DENW015,7.1227,51.6990
DENW021,6.9769,51.5260
DENW022,7.1019,51.5336
DENW024,6.9810,51.4965
DENW029,7.2085,51.4030
DENW030,6.6297,51.6729
DENW034,6.7484,51.5240
DENW038,6.8651,51.4535
DENW040,6.7630,51.3853
DENW042,6.6402,51.3377
DENW043,7.0305,51.4512
DENW053,6.8846,51.0193
DENW058,6.8738,50.8762
DENW059,6.9851,50.8899
DENW062,7.0826,50.7536
DENW064,6.2810,50.6532
DENW065,8.1919,50.9303
DENW066,6.1958,51.3269
DENW067,8.5484,52.0232
DENW068,8.1480,51.5707
DENW071,6.7324,51.2492
DENW074,6.4693,50.8835
DENW078,6.8199,51.3034
DENW079,7.0050,51.0289
DENW080,7.0526,51.1838
DENW081,6.8745,51.8620
DENW082,6.7825,51.2132
DENW094,6.0938,50.7547
DENW095,7.6116,51.9365
DENW096,6.4256,51.1546
DENW100,6.4589,51.1700
DENW101,7.4642,51.5196
DENW112,6.7719,51.4377
DENW114,7.2319,51.2776
DENW116,6.6702,51.3426
DENW133,7.4636,51.3628
DENW134,7.0053,51.4779
DENW136,7.4836,51.5235
DENW179,7.5822,51.4488
DENW181,8.3608,51.4430
DENW188,6.8636,51.4749
DENW189,7.1474,51.2607
DENW200,8.5528,52.0056
DENW207,6.0958,50.7731
DENW208,7.0846,51.5279
DENW211,7.0046,50.9628
DENW212,6.9576,50.9473
DENW247,6.9656,51.4068
DENW259,6.4399,51.1694
DENW260,7.6194,51.9533
DENW329,6.4515,51.0338
DENW337,6.4695,51.0976
DENW338,6.7354,51.4855
DENW355,7.0109,51.0315
DENW367,6.9909,51.5681
DERP001,8.4023,49.5150
DERP003,8.4259,49.4555
DERP007,8.2168,50.0176
DERP009,8.2740,49.9950
DERP010,8.2611,50.0010
DERP011,8.2658,50.0099
DERP012,8.2689,49.9991
DERP013,7.2935,49.4231
DERP014,7.1934,49.7409
DERP015,6.3781,50.2665
DERP016,7.9735,50.7668
DERP017,7.8264,49.2703
DERP019,7.7673,49.4460
DERP020,6.6467,49.7542
DERP021,7.4814,50.4247
DERP022,7.8662,49.8412
DERP023,8.3648,49.6288
DERP024,7.5966,50.3544
DERP025,8.2535,49.0523
DERP026,8.3553,49.5333
DERP028,7.7299,50.4243
DERP041,8.4439,49.4785
DERP045,7.5922,50.3594
DERP046,7.4607,50.4314
DERP047,6.6903,49.7840
DERP053,8.4230,49.3511
DERP060,7.6146,49.1920
DESL002,7.2634,49.3620
DESL003,6.7335,49.3579
DESL010,6.9488,49.2442
DESL011,7.0363,49.2372
DESL012,6.9876,49.2335
DESL013,6.7536,49.3226
DESL017,6.8677,49.2543
DESL018,7.0617,49.2994
DESL019,6.5520,49.4169
DESL020,7.0032,49.2307
DESH001,9.5859,53.6706
DESH006,9.5494,54.5273
DESH008,10.2406,54.0932
DESH013,11.2160,54.4130
DESH014,8.6035,54.3278
DESH015,9.5326,53.9247
DESH016,10.2149,53.5706
DESH022,9.4381,54.7814
DESH023,10.6959,53.8355
DESH025,9.5118,53.9280
DESH027,10.1352,54.3047
DESH028,10.7758,53.6989
DESH030,9.9973,53.6820
DESH033,10.1166,54.3097
DESH035,9.1569,53.8961
DESH052,10.1224,54.3042
DESH053,10.6733,53.8622
DESH055,10.6649,53.8745
DESN001,12.9973,50.5709
DESN004,14.4438,51.1757
DESN006,12.4931,51.1250
DESN011,12.9173,50.8325
DESN017,13.3468,50.9163
DESN019,12.5421,50.8260
DESN020,14.9740,51.1558
DESN024,12.4687,50.3548
DESN025,12.3772,51.3442
DESN045,14.8228,50.8924
DESN049,12.6111,50.4313
DESN051,13.6750,51.1195
DESN052,13.7515,50.7315
DESN053,12.9535,50.4285
DESN059,12.2974,51.3179
DESN061,13.7414,51.0649
DESN074,13.4651,50.6591
DESN075,12.1381,50.4861
DESN076,13.0094,51.3038
DESN077,12.3347,51.3359
DESN079,14.7497,51.2854
DESN080,12.2341,51.3961
DESN081,12.1304,50.4818
DESN082,12.4257,51.3760
DESN083,12.9034,50.8457
DESN084,13.7316,51.0263
DESN091,12.4866,50.7204
DESN092,13.7302,51.0361
DESN093,12.2111,50.6081
DEST002,11.8648,52.2684
DEST011,10.7901,51.8394
DEST015,12.3029,51.6512
DEST028,12.1413,51.0546
DEST029,11.7390,51.8035
DEST039,10.6183,51.7986
DEST044,11.0574,51.8970
DEST050,11.9791,51.4962
DEST066,12.6637,51.8709
DEST075,11.9834,51.4752
DEST077,11.6115,52.1279
DEST089,11.1723,52.5931
DEST090,12.0321,51.3214
DEST091,12.2448,51.8406
DEST092,12.5983,51.8675
DEST095,11.4495,51.7595
DEST098,11.0434,51.6624
DEST102,11.9813,51.4948
DEST103,11.6327,52.1208
DEST104,11.8914,51.8373
DEST105,11.8503,52.6021
DEST106,11.0911,51.4561
DEST108,11.9610,51.1972
DEST112,11.6319,52.1317
DETH005,11.3689,50.6512
DETH009,12.0749,50.8779
DETH011,12.4376,50.9878
DETH013,10.3172,50.9783
DETH018,10.7914,51.4972
DETH020,11.0379,50.9795
DETH026,10.3753,50.5618
DETH027,11.1346,50.5000
DETH036,12.2052,50.6559
DETH041,11.5971,50.9335
DETH042,10.8672,51.3333
DETH043,11.0194,50.9849
DETH060,10.6686,50.6532
DETH061,11.6612,50.7916
DETH072,10.6931,50.6115
DETH083,11.3261,50.9775
DETH091,10.4484,51.2052
DETH093,11.3210,50.9822
DETH095,10.4510,51.2079
DEUB001,8.3082,54.9250
DEUB004,7.9080,47.9133
DEUB005,10.7567,52.8008
DEUB028,12.7219,54.4370
DEUB029,10.7695,50.6541
DEUB030,13.0317,53.1413
DEUB044,10.9807,47.4144
DEUB046,13.4206,48.9476
